name,area,category,official_url,proposed_source_url,source_lane,priority,registry_state,enabled_initially,notes
Hammonds House Museum,Atlanta,museum/Black arts organization,https://www.hammondshousemuseum.org/,https://www.hammondshousemuseum.org/programs,official_html,high,add,yes,Exhibitions talks performances and Black queer programming
SCAD FASH Museum of Fashion + Film,Atlanta,museum/university,https://www.scadfash.org/,https://www.scadfash.org/,official_html,high,add,yes,Fashion film photography exhibitions and talks
Oglethorpe University Museum of Art,Brookhaven,university museum,https://museum.oglethorpe.edu/,https://museum.oglethorpe.edu/exhibitions/,official_html,high,add,yes,Contemporary and international exhibitions
Emory Arts,Atlanta/Decatur,university arts organization,https://arts.emory.edu/,https://arts.emory.edu/events.html,official_html,high,add,yes,Central arts calendar; filter aggressively by creative lanes
Michael C. Carlos Museum,Atlanta/Decatur,university museum,https://carlos.emory.edu/,https://carlos.emory.edu/calendar,official_html,high,add,yes,Verified current 2026 museum calendar with dated programs and direct event pages; deduplicate against Emory Arts
Bernard A. Zuckerman Museum of Art,Kennesaw,university museum,https://campus.kennesaw.edu/colleges-departments/arts/academics/visual-arts/zuckerman/,https://campus.kennesaw.edu/colleges-departments/arts/academics/visual-arts/zuckerman/exhibitions/,official_html,high,add,yes,Contemporary exhibitions and artist talks
Hudgens Center for Art & Learning,Duluth,community art center/museum,https://www.thehudgens.org/,https://www.thehudgens.org/exhibits,official_html,high,add,yes,Gwinnett exhibitions receptions and education
Marietta Cobb Museum of Art,Marietta,museum,https://mariettacobbartmuseum.org/,https://mariettacobbartmuseum.org/,official_html,high,add,yes,Current exhibitions and happenings appear on homepage
Callanwolde Fine Arts Center,Atlanta,community arts center,https://callanwolde.org/,https://callanwolde.org/GALLERY/,official_html,high,add,yes,Exhibitions openings talks and multidisciplinary programs
Chastain Arts Center,Atlanta,municipal arts center/gallery,https://ocaatlanta.com/chastain-arts-center,https://ocaatlanta.com/chastain-arts-center,official_html,high,add,yes,Contemporary gallery exhibitions and artist talks
Spruill Center for the Arts,Dunwoody,community arts center/gallery,https://spruillarts.org/,https://spruillarts.org/,official_html,high,add,yes,Homepage exposes current exhibition and calendar
Southwest Arts Center,South Fulton,municipal arts center,https://www.cityofsouthfultonga.gov/3300/Southwest-Arts-Center,https://www.cityofsouthfultonga.gov/3300/Southwest-Arts-Center,official_html,high,add,yes,Gallery theater classes and municipal calendar
Fulton County Arts & Culture,Metro Atlanta,county arts organization,https://www.fultoncountyga.gov/inside-fulton-county/fulton-county-departments/arts-and-culture,https://www.fultoncountyga.gov/inside-fulton-county/fulton-county-departments/arts-and-culture,discovery,medium,add,no,Use for county-produced events and arts-center leads; resolve exact event pages
ArtsXchange,East Point,Black-led multidisciplinary arts center,https://www.artsxchange.org/,https://www.artsxchange.org/,official_html,high,add,yes,Studios gallery literary performance and community programming
Decatur Arts Alliance,Decatur,municipal/community arts organization,https://decaturartsalliance.org/,https://decaturartsalliance.org/,official_html,high,add,yes,Exhibitions public art festivals and emerging artists
Sewell Mill Library & Cultural Center,Marietta,county cultural center/gallery,https://www.cobbcounty.gov/sewell-mill-cultural-center,https://www.cobbcounty.gov/parks/arts/sewell-mill-center/art-gallery,official_html,medium,add,yes,Exhibition schedule and interdisciplinary programs
Atlanta Photography Group,Atlanta,photography nonprofit/gallery,https://atlantaphotographygroup.org/,https://atlantaphotographygroup.org/home-original/,official_html,high,add,yes,Exhibitions receptions talks critiques and workshops
Whitespace,Atlanta,contemporary gallery,https://whitespace814.com/,https://whitespace814.com/,official_html,high,add,yes,Multiple project spaces and current exhibitions
Day & Night Projects,Atlanta,artist-run contemporary gallery,https://www.daynightprojects.art/,https://www.daynightprojects.art/,official_html,high,add,yes,Emerging and experimental artists
Echo Contemporary Art,Atlanta,artist-run contemporary gallery,https://www.echocontemporary.com/,https://www.echocontemporary.com/events,official_html,high,add,yes,Dedicated upcoming-shows listing
Jackson Fine Art,Atlanta,commercial photography gallery,https://www.jacksonfineart.com/,https://www.jacksonfineart.com/exhibitions/,official_html,high,add,yes,Strong photography exhibitions and openings
Johnson Lowe Gallery,Atlanta,commercial contemporary gallery,https://www.johnsonlowe.com/,https://www.johnsonlowe.com/exhibitions/,official_html,high,add,yes,Contemporary painting sculpture video and installation
Black Art In America Gallery & Gardens,East Point,Black-owned gallery/cultural platform,https://www.blackartinamerica.com/,https://www.blackartinamerica.com/pages/atlanta-black-art-gallery,official_html,high,add,yes,Black art exhibitions talks and garden programs
ABV Gallery,Atlanta,contemporary/urban art gallery,https://www.abvgallery.com/,https://www.abvgallery.com/atlanta-art-exhibitions,official_html,high,add,yes,Exhibitions and Outerspace-related programs
ZuCot Gallery,Atlanta,Black-owned commercial gallery,https://www.zucotgallery.com/,https://www.zucotgallery.com/home,official_html,high,add,yes,Black contemporary art exhibitions and educational events
Spalding Nix Fine Art,Atlanta,commercial gallery,https://spaldingnixfineart.com/,https://spaldingnixfineart.com/,official_html,medium,add,yes,Homepage carries dated exhibition cycles
Thomas Deans Fine Art,Atlanta,commercial gallery,https://thomasdeansfineart.com/,https://thomasdeansfineart.com/,official_html,medium,add,yes,Homepage carries opening dates and exhibitions
Pryor Fine Art,Atlanta,commercial gallery,https://www.pryorfineart.com/,https://www.pryorfineart.com/,discovery,medium,add,no,No reliable dedicated events listing confirmed; use as a lead source first
Poem 88,Atlanta,independent curatorial/publishing platform,https://www.poem88.net/,https://www.poem88.net/,discovery,medium,add,no,Intermittent projects after exhibition hiatus
Flux Projects,Atlanta,public-art nonprofit,https://fluxprojects.org/,https://fluxprojects.org/,discovery,high,add,yes,Site-specific experimental public art; resolve exact project/event pages
Living Walls,Atlanta,public-art nonprofit,https://www.livingwallsatl.com/,https://www.livingwallsatl.com/,discovery,high,add,yes,Murals installations and community programs
Atlanta BeltLine Arts,Atlanta,public-art program,https://beltline.org/art/,https://beltline.org/art/,discovery,high,add,yes,Temporary public art and special programs; resolve exact event pages
Atlanta Arts Alliance,Metro Atlanta,arts coalition,https://www.atlantaartsalliance.com/,https://www.atlantaartsalliance.com/,discovery,high,add,yes,Small and medium arts organizations plus Open Studios
ArtsATL,Metro Atlanta,arts calendar/editorial organization,https://www.artsatl.org/,https://www.artsatl.org/calendar/list/,discovery,high,add,yes,Secondary discovery source only; resolve every lead to organizer or venue
Burnaway,Metro Atlanta,arts publication/nonprofit,https://burnaway.org/,https://burnaway.org/,discovery,medium,add,no,Use for announcements and artist-led leads rather than factual publication source
ART PAPERS,Atlanta,arts publication/nonprofit,https://www.artpapers.org/,https://www.artpapers.org/,discovery,medium,add,no,Use for talks commissions and ecosystem leads
Marietta Arts Council,Marietta,municipal arts organization,https://www.mariettaartscouncil.com/,https://www.mariettaartscouncil.com/galleries,discovery,medium,add,yes,Directory and city programming; resolve gallery events to official sites
dk Gallery,Marietta,commercial gallery,https://dkgallery.us/,https://dkgallery.us/,official_html,medium,add,no,Monthly themed shows; confirm stable exhibition path before enabling
The Loft Marietta,Marietta,commercial gallery,https://loftmarietta.com/,https://loftmarietta.com/,official_html,medium,add,no,Emerging and established contemporary artists
Muse & Co.,Marietta,commercial gallery,https://musecofineart.com/,https://musecofineart.com/,official_html,low,add,no,Confirm frequency and public event detail pages
RobertKent Galleries,Marietta,commercial gallery,https://robertkentgalleries.com/,https://robertkentgalleries.com/,official_html,low,add,no,Confirm frequency and public event detail pages
Avery Gallery,Marietta,commercial gallery,https://averygallery.com/,https://averygallery.com/,official_html,low,add,no,Gallery plus restoration business; enable only if dated exhibitions are exposed
Marietta Art Collective,Marietta,artist collective/studios,https://mariettaartcollective.com/,https://mariettaartcollective.com/,discovery,medium,add,no,Classes open studios and collaborative events
Roswell Arts Fund,Roswell,public-art nonprofit,https://roswellartsfund.org/,https://roswellartsfund.org/events/,official_html,high,add,yes,Verified active official calendar with dated 2026 performances and direct event pages
Roswell Fine Arts Alliance,Roswell,visual-arts organization/gallery,https://www.rfaa.org/,https://www.rfaa.org/,discovery,medium,add,no,Verified active gallery and 2026 exhibitions; homepage summaries lack stable event-detail pages so keep disabled for lead-only use
Arts Alpharetta,Alpharetta,community arts organization,https://www.artsalpharetta.org/,https://www.artsalpharetta.org/art-exhibitions.html,official_html,high,add,yes,Verified detailed 2026 exhibition schedule with receptions and public event dates
The Art Center,Johns Creek,community arts center,https://www.itstheartcenter.org/,https://www.itstheartcenter.org/exhibits,official_html,high,add,yes,Former Johns Creek Arts Center domain redirects here; verified dated 2026 exhibitions and receptions
Dalton Gallery at Agnes Scott College,Decatur,university gallery,https://www.agnesscott.edu/,https://calendar.agnesscott.edu/dalton_gallery,official_html,medium,add,no,Verified official Localist place page but it currently has zero upcoming events; register disabled until programming returns
Different Trains Gallery,Decatur,commercial contemporary gallery,https://differenttrainsgallery.com/,https://differenttrainsgallery.com/,discovery,low,hold,no,Old official domain is unavailable and no current official dated program was confirmed; current founder programming appears under VINSONart and The Sun ATL
MINT,Atlanta,former artist-support nonprofit/gallery,https://www.mintatl.org/,https://www.mintatl.org/,exclude,low,inactive,no,Gallery closed in August 2024 and the former domain now redirects to unrelated content; do not register
Dashboard,Atlanta,artist-led public art/nonprofit,https://www.dashboard.us/,https://www.dashboard.us/upcoming,official_html,high,add,yes,Verified active 2026 Atlanta-area exhibitions and public-art projects with direct detail links
Camayuhs,Atlanta,artist-run gallery,https://camayuhs.com/,https://camayuhs.com/,discovery,low,hold,no,No current official programming could be confirmed and the site is unavailable; latest reliable program evidence is historical
Marcia Wood Gallery,Atlanta,commercial contemporary gallery,https://www.marciawoodgallery.com/,https://www.marciawoodgallery.com/exhibitions/current/,official_html,high,add,yes,Verified active current 2026 exhibition page with dates and detail links
Mason Fine Art,Atlanta,commercial gallery/event space,https://masonfineartandevents.com/,https://masonfineartandevents.com/,official_html,high,add,yes,Verified active 2026 exhibition program on the official homepage; exclude private venue-rental marketing
Alan Avery Art Company,Atlanta,commercial gallery,https://www.alanaveryartcompany.com/,https://www.alanaveryartcompany.com/upcoming-exhibitions,official_html,medium,add,yes,Verified active upcoming exhibition page with reception and artist-talk dates
September Gray Fine Art Gallery,Atlanta,commercial gallery,https://septembergrayart.com/,https://septembergrayart.com/exhibitions,discovery,medium,add,no,Verified active gallery and exhibitions page but current dated detail coverage is inconsistent; keep disabled for lead-only use
The Sun ATL,Atlanta,contemporary gallery/event venue,https://vinsonart.com/,https://vinsonart.com/exhibitions/,official_html,high,add,yes,Verified active 2026 program under canonical VINSONart site with dated exhibitions and direct detail pages
South Arts,Atlanta/regional,regional arts organization,https://www.southarts.org/,https://www.southarts.org/events,discovery,medium,add,no,Verified current events and Southern Circuit detail pages; keep disabled until Atlanta-only filtering prevents regional noise
Atlanta Printmakers Studio,Hapeville/Atlanta,artist-run printmaking nonprofit,https://www.atlantaprintmakersstudio.org/,https://www.atlantaprintmakersstudio.org/new-events-1,official_html,high,add,yes,Verified official dated calendar with exhibitions receptions workshops and direct event pages
Robert C. Williams Museum of Papermaking,Atlanta,university museum,https://paper.gatech.edu/museum,https://paper.gatech.edu/upcoming-exhibits,official_html,medium,add,yes,Verified official upcoming-exhibitions page with dated current and future shows
Serenbe Institute for Art Culture & the Environment,Chattahoochee Hills,multidisciplinary arts organization,https://www.serenbe.com/arts-culture,https://www.serenbe.com/events,official_html,medium,add,yes,Verified detailed official event listing; Scout must filter aggressively to arts music performance and artist-led programming
